"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Design"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$60,000","$71,000","$90,000","$103,000","$67,000","$78,000","$99,000","$114,000","0.0028%","0.0064%","0.0188%","0.0272%","415","948","2,783","4,027","$4,000","$8,000","$24,000","$35,000"
"IC 2","Mid 1 (Developing)","$80,000","$100,000","$117,000","$144,000","$88,000","$111,000","$129,000","$159,000","0.0120%","0.0160%","0.0232%","0.0508%","1,777","2,369","3,435","7,521","$16,000","$21,000","$30,000","$66,000"
"IC 3","Mid 2 (Proficient)","$87,000","$114,000","$133,000","$173,000","$96,000","$127,000","$147,000","$191,000","0.0168%","0.0228%","0.0280%","0.0724%","2,487","3,376","4,146","10,719","$22,000","$30,000","$36,000","$94,000"
"IC 4","Senior 1 (Skilled)","$99,000","$124,000","$144,000","$179,000","$110,000","$137,000","$159,000","$198,000","0.0208%","0.0284%","0.0364%","0.0964%","3,080","4,205","5,389","14,273","$27,000","$37,000","$47,000","$125,000"
"IC 5","Senior 2 (Advanced)","$112,000","$130,000","$163,000","$214,000","$124,000","$144,000","$181,000","$238,000","0.0276%","0.0352%","0.0464%","0.1236%","4,086","5,212","6,870","18,300","$36,000","$46,000","$60,000","$160,000"
"IC 6","Staff (Expert)","$127,000","$156,000","$186,000","$242,000","$140,000","$172,000","$206,000","$268,000","0.0364%","0.0484%","0.0740%","0.1656%","5,389","7,166","10,956","24,518","$47,000","$63,000","$96,000","$215,000"
"IC 7","Senior Staff (Advisor)","$161,000","$193,000","$221,000","$275,000","$186,000","$224,000","$256,000","$319,000","0.0412%","0.0748%","0.1416%","0.2072%","6,100","11,075","20,965","30,677","$53,000","$97,000","$184,000","$269,000"
"IC 8","Principal (Strategist)","$168,000","$199,000","$227,000","$284,000","$195,000","$231,000","$263,000","$329,000","0.0504%","0.1072%","0.2112%","0.3148%","7,462","15,872","31,270","46,608","$65,000","$139,000","$274,000","$408,000"
"IC 9","Distinguished (Thought Leader)","$233,000","$259,000","$310,000","$333,000","$284,000","$316,000","$378,000","$406,000","0.0564%","0.3600%","0.4896%","0.6096%","8,350","53,301","72,489","90,256","$73,000","$467,000","$635,000","$791,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
