"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","Austin, TX, USA"
"Pay adjustment","87%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$67,000","$87,000","$101,000","$118,000","$74,000","$96,000","$112,000","$130,000","0.0021%","0.0108%","0.0258%","0.0602%","309","1,597","3,813","8,914","$3,000","$14,000","$33,000","$78,000"
"IC 2","Mid 1 (Developing)","$95,000","$110,000","$130,000","$138,000","$105,000","$121,000","$143,000","$152,000","0.0146%","0.0219%","0.0331%","0.0853%","2,164","3,246","4,895","12,623","$19,000","$28,000","$43,000","$111,000"
"IC 3","Mid 2 (Proficient)","$108,000","$134,000","$149,000","$179,000","$119,000","$148,000","$165,000","$198,000","0.0202%","0.0289%","0.0383%","0.1148%","2,988","4,276","5,668","17,003","$26,000","$37,000","$50,000","$149,000"
"IC 4","Senior 1 (Skilled)","$115,000","$145,000","$170,000","$200,000","$127,000","$161,000","$189,000","$221,000","0.0226%","0.0306%","0.0393%","0.1295%","3,349","4,534","5,822","19,167","$29,000","$40,000","$51,000","$168,000"
"IC 5","Senior 2 (Advanced)","$131,000","$158,000","$189,000","$211,000","$145,000","$175,000","$210,000","$234,000","0.0261%","0.0355%","0.0432%","0.1479%","3,864","5,255","6,389","21,898","$34,000","$46,000","$56,000","$192,000"
"IC 6","Staff (Expert)","$163,000","$183,000","$204,000","$241,000","$180,000","$202,000","$226,000","$267,000","0.0379%","0.0522%","0.0710%","0.1907%","5,616","7,729","10,511","28,235","$49,000","$68,000","$92,000","$247,000"
"IC 7","Senior Staff (Advisor)","$180,000","$202,000","$237,000","$254,000","$208,000","$234,000","$274,000","$294,000","0.0445%","0.0682%","0.1476%","0.2241%","6,595","10,099","21,846","33,181","$58,000","$88,000","$191,000","$291,000"
"IC 8","Principal (Strategist)","$181,000","$206,000","$242,000","$288,000","$209,000","$238,000","$280,000","$334,000","0.0515%","0.1093%","0.3717%","0.4646%","7,626","16,179","55,028","68,784","$67,000","$142,000","$482,000","$603,000"
"IC 9","Distinguished (Thought Leader)","$186,000","$214,000","$252,000","$300,000","$227,000","$261,000","$307,000","$366,000","0.1489%","0.4033%","0.7092%","1.1133%","22,052","59,716","105,006","164,825","$193,000","$523,000","$920,000","$1,444,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
