"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","Seattle, WA, USA"
"Pay adjustment","95%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$73,000","$95,000","$110,000","$128,000","$81,000","$105,000","$122,000","$142,000","0.0023%","0.0118%","0.0281%","0.0657%","338","1,744","4,163","9,733","$3,000","$15,000","$36,000","$85,000"
"IC 2","Mid 1 (Developing)","$104,000","$120,000","$141,000","$150,000","$115,000","$132,000","$156,000","$166,000","0.0160%","0.0239%","0.0361%","0.0931%","2,363","3,544","5,345","13,784","$21,000","$31,000","$47,000","$121,000"
"IC 3","Mid 2 (Proficient)","$117,000","$146,000","$162,000","$195,000","$130,000","$162,000","$180,000","$216,000","0.0220%","0.0315%","0.0418%","0.1254%","3,263","4,670","6,189","18,566","$29,000","$41,000","$54,000","$163,000"
"IC 4","Senior 1 (Skilled)","$125,000","$158,000","$186,000","$218,000","$139,000","$175,000","$206,000","$242,000","0.0247%","0.0334%","0.0429%","0.1414%","3,657","4,951","6,358","20,929","$32,000","$43,000","$56,000","$183,000"
"IC 5","Senior 2 (Advanced)","$143,000","$173,000","$207,000","$230,000","$159,000","$192,000","$229,000","$255,000","0.0285%","0.0388%","0.0471%","0.1615%","4,220","5,739","6,976","23,911","$37,000","$50,000","$61,000","$210,000"
"IC 6","Staff (Expert)","$178,000","$199,000","$223,000","$263,000","$197,000","$221,000","$247,000","$292,000","0.0414%","0.0570%","0.0775%","0.2082%","6,133","8,439","11,477","30,831","$54,000","$74,000","$101,000","$270,000"
"IC 7","Senior Staff (Advisor)","$196,000","$220,000","$259,000","$278,000","$228,000","$255,000","$300,000","$322,000","0.0486%","0.0745%","0.1611%","0.2447%","7,202","11,027","23,855","36,233","$63,000","$97,000","$209,000","$318,000"
"IC 8","Principal (Strategist)","$197,000","$225,000","$264,000","$314,000","$229,000","$260,000","$306,000","$364,000","0.0562%","0.1193%","0.4058%","0.5073%","8,327","17,666","60,088","75,109","$73,000","$155,000","$527,000","$658,000"
"IC 9","Distinguished (Thought Leader)","$203,000","$233,000","$275,000","$327,000","$247,000","$284,000","$335,000","$400,000","0.1626%","0.4404%","0.7744%","1.2156%","24,080","65,207","114,662","179,981","$211,000","$571,000","$1,005,000","$1,577,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
