"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","> $200M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$85,000","$105,000","$133,000","$154,000","$94,000","$116,000","$147,000","$170,000","0.0012%","0.0044%","0.0104%","0.0208%","178","651","1,540","3,080","$2,000","$6,000","$13,000","$27,000"
"IC 2","Mid 1 (Developing)","$115,000","$143,000","$157,000","$181,000","$127,000","$157,000","$173,000","$199,000","0.0060%","0.0096%","0.0128%","0.0316%","888","1,421","1,895","4,679","$8,000","$12,000","$17,000","$41,000"
"IC 3","Mid 2 (Proficient)","$133,000","$155,000","$197,000","$229,000","$148,000","$172,000","$218,000","$253,000","0.0092%","0.0124%","0.0164%","0.0424%","1,362","1,836","2,428","6,278","$12,000","$16,000","$21,000","$55,000"
"IC 4","Senior 1 (Skilled)","$148,000","$172,000","$215,000","$240,000","$164,000","$190,000","$238,000","$266,000","0.0096%","0.0136%","0.0168%","0.0496%","1,421","2,014","2,487","7,344","$12,000","$18,000","$22,000","$64,000"
"IC 5","Senior 2 (Advanced)","$158,000","$194,000","$221,000","$264,000","$175,000","$215,000","$244,000","$292,000","0.0128%","0.0160%","0.0212%","0.0604%","1,895","2,369","3,139","8,943","$17,000","$21,000","$28,000","$78,000"
"IC 6","Staff (Expert)","$181,000","$199,000","$237,000","$290,000","$200,000","$221,000","$262,000","$321,000","0.0160%","0.0212%","0.0284%","0.0760%","2,369","3,139","4,205","11,252","$21,000","$28,000","$37,000","$99,000"
"IC 7","Senior Staff (Advisor)","$217,000","$229,000","$282,000","$309,000","$263,000","$277,000","$342,000","$375,000","0.0220%","0.0300%","0.0624%","0.0952%","3,257","4,442","9,239","14,095","$29,000","$39,000","$81,000","$124,000"
"IC 8","Principal (Strategist)","$226,000","$264,000","$293,000","$326,000","$274,000","$320,000","$356,000","$396,000","0.0260%","0.0476%","0.1596%","0.1960%","3,849","7,048","23,630","29,019","$34,000","$62,000","$207,000","$254,000"
"IC 9","Distinguished (Thought Leader)","$238,000","$278,000","$318,000","$343,000","$299,000","$349,000","$398,000","$431,000","0.0604%","0.1688%","0.3280%","0.5392%","8,943","24,992","48,563","79,833","$78,000","$219,000","$426,000","$700,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
