"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$77,000","$100,000","$116,000","$135,000","$85,000","$111,000","$128,000","$149,000","0.0024%","0.0124%","0.0296%","0.0692%","355","1,836","4,382","10,246","$3,000","$16,000","$38,000","$90,000"
"IC 2","Mid 1 (Developing)","$109,000","$126,000","$149,000","$158,000","$121,000","$139,000","$165,000","$175,000","0.0168%","0.0252%","0.0380%","0.0980%","2,487","3,731","5,626","14,510","$22,000","$33,000","$49,000","$127,000"
"IC 3","Mid 2 (Proficient)","$124,000","$154,000","$171,000","$206,000","$137,000","$170,000","$189,000","$228,000","0.0232%","0.0332%","0.0440%","0.1320%","3,435","4,916","6,515","19,544","$30,000","$43,000","$57,000","$171,000"
"IC 4","Senior 1 (Skilled)","$132,000","$167,000","$196,000","$230,000","$146,000","$185,000","$217,000","$254,000","0.0260%","0.0352%","0.0452%","0.1488%","3,849","5,212","6,692","22,031","$34,000","$46,000","$59,000","$193,000"
"IC 5","Senior 2 (Advanced)","$151,000","$182,000","$217,000","$242,000","$167,000","$202,000","$241,000","$269,000","0.0300%","0.0408%","0.0496%","0.1700%","4,442","6,041","7,344","25,170","$39,000","$53,000","$64,000","$221,000"
"IC 6","Staff (Expert)","$187,000","$210,000","$234,000","$277,000","$207,000","$233,000","$260,000","$307,000","0.0436%","0.0600%","0.0816%","0.2192%","6,455","8,883","12,081","32,454","$57,000","$78,000","$106,000","$284,000"
"IC 7","Senior Staff (Advisor)","$207,000","$232,000","$272,000","$292,000","$240,000","$269,000","$315,000","$338,000","0.0512%","0.0784%","0.1696%","0.2576%","7,581","11,608","25,111","38,140","$66,000","$102,000","$220,000","$334,000"
"IC 8","Principal (Strategist)","$208,000","$236,000","$278,000","$331,000","$241,000","$274,000","$322,000","$383,000","0.0592%","0.1256%","0.4272%","0.5340%","8,765","18,596","63,250","79,063","$77,000","$163,000","$554,000","$693,000"
"IC 9","Distinguished (Thought Leader)","$213,000","$245,000","$289,000","$345,000","$260,000","$299,000","$353,000","$421,000","0.1712%","0.4636%","0.8152%","1.2796%","25,347","68,639","120,696","189,454","$222,000","$601,000","$1,058,000","$1,660,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
