"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Marketing"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$58,000","$68,000","$85,000","$113,000","$63,000","$74,000","$92,000","$123,000","0.0020%","0.0056%","0.0120%","0.0228%","296","829","1,777","3,376","$3,000","$7,000","$16,000","$30,000"
"IC 2","Mid 1 (Developing)","$71,000","$82,000","$97,000","$120,000","$78,000","$89,000","$106,000","$131,000","0.0064%","0.0112%","0.0188%","0.0396%","948","1,658","2,783","5,863","$8,000","$15,000","$24,000","$51,000"
"IC 3","Mid 2 (Proficient)","$96,000","$115,000","$135,000","$156,000","$106,000","$127,000","$149,000","$172,000","0.0120%","0.0148%","0.0196%","0.0580%","1,777","2,191","2,902","8,587","$16,000","$19,000","$25,000","$75,000"
"IC 4","Senior 1 (Skilled)","$98,000","$122,000","$144,000","$165,000","$108,000","$135,000","$159,000","$182,000","0.0144%","0.0196%","0.0232%","0.0800%","2,132","2,902","3,435","11,845","$19,000","$25,000","$30,000","$104,000"
"IC 5","Senior 2 (Advanced)","$111,000","$133,000","$153,000","$189,000","$124,000","$148,000","$171,000","$212,000","0.0200%","0.0268%","0.0336%","0.1052%","2,961","3,968","4,975","15,576","$26,000","$35,000","$44,000","$136,000"
"IC 6","Staff (Expert)","$118,000","$148,000","$180,000","$206,000","$132,000","$166,000","$201,000","$230,000","0.0280%","0.0388%","0.0500%","0.1356%","4,146","5,745","7,403","20,077","$36,000","$50,000","$65,000","$176,000"
"IC 7","Senior Staff (Advisor)","$160,000","$176,000","$206,000","$244,000","$182,000","$200,000","$234,000","$277,000","0.0336%","0.0528%","0.0964%","0.1716%","4,975","7,817","14,273","25,407","$44,000","$68,000","$125,000","$223,000"
"IC 8","Principal (Strategist)","$171,000","$208,000","$220,000","$252,000","$194,000","$236,000","$250,000","$286,000","0.0412%","0.0884%","0.2388%","0.2984%","6,100","13,088","35,356","44,180","$53,000","$115,000","$310,000","$387,000"
"IC 9","Distinguished (Thought Leader)","$191,000","$249,000","$256,000","$291,000","$242,000","$315,000","$324,000","$368,000","0.1088%","0.2612%","0.4972%","0.7780%","16,109","38,673","73,614","115,189","$141,000","$339,000","$645,000","$1,009,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
