"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Product"
"Specialization","All"
"Peer Group","$10M - $25M raised"
"Geography","San Francisco-Oakland-Fremont, CA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$69,000","$85,000","$105,000","$123,000","$76,000","$94,000","$116,000","$136,000","0.0056%","0.0180%","0.0512%","0.1028%","829","2,665","7,581","15,220","$7,000","$23,000","$66,000","$133,000"
"IC 2","Mid 1 (Developing)","$80,000","$100,000","$117,000","$151,000","$88,000","$111,000","$129,000","$166,000","0.0228%","0.0420%","0.0772%","0.1532%","3,376","6,218","11,430","22,682","$30,000","$54,000","$100,000","$199,000"
"IC 3","Mid 2 (Proficient)","$112,000","$136,000","$166,000","$196,000","$125,000","$152,000","$186,000","$219,000","0.0420%","0.0544%","0.0920%","0.1864%","6,218","8,054","13,621","27,598","$54,000","$71,000","$119,000","$242,000"
"IC 4","Senior 1 (Skilled)","$139,000","$159,000","$184,000","$205,000","$155,000","$177,000","$205,000","$229,000","0.0512%","0.0640%","0.0968%","0.2544%","7,581","9,476","14,332","37,666","$66,000","$83,000","$126,000","$330,000"
"IC 5","Senior 2 (Advanced)","$149,000","$169,000","$196,000","$227,000","$169,000","$191,000","$223,000","$257,000","0.0528%","0.0732%","0.1024%","0.2876%","7,817","10,838","15,161","42,581","$68,000","$95,000","$133,000","$373,000"
"IC 6","Staff (Expert)","$169,000","$203,000","$206,000","$264,000","$192,000","$230,000","$233,000","$300,000","0.0644%","0.1000%","0.1492%","0.3540%","9,535","14,806","22,090","52,412","$84,000","$130,000","$194,000","$459,000"
"IC 7","Senior Staff (Advisor)","$195,000","$217,000","$241,000","$283,000","$223,000","$249,000","$277,000","$325,000","0.0784%","0.1160%","0.2380%","0.4352%","11,608","17,175","35,238","64,435","$102,000","$151,000","$309,000","$565,000"
"IC 8","Principal (Strategist)","$207,000","$237,000","$273,000","$303,000","$237,000","$271,000","$314,000","$347,000","0.0920%","0.1600%","0.4380%","0.5668%","13,621","23,689","64,849","83,919","$119,000","$208,000","$568,000","$735,000"
"IC 9","Distinguished (Thought Leader)","$208,000","$247,000","$274,000","$303,000","$243,000","$288,000","$320,000","$355,000","0.1052%","0.3188%","0.6636%","0.9624%","15,576","47,201","98,251","142,490","$136,000","$414,000","$861,000","$1,249,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
