"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Product"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$79,000","$103,000","$120,000","$141,000","$87,000","$114,000","$133,000","$156,000","0.0048%","0.0132%","0.0340%","0.0752%","711","1,954","5,034","11,134","$6,000","$17,000","$44,000","$98,000"
"IC 2","Mid 1 (Developing)","$83,000","$111,000","$124,000","$157,000","$91,000","$122,000","$137,000","$173,000","0.0196%","0.0292%","0.0504%","0.1024%","2,902","4,323","7,462","15,161","$25,000","$38,000","$65,000","$133,000"
"IC 3","Mid 2 (Proficient)","$118,000","$143,000","$181,000","$213,000","$130,000","$158,000","$200,000","$236,000","0.0316%","0.0440%","0.0580%","0.1424%","4,679","6,515","8,587","21,083","$41,000","$57,000","$75,000","$185,000"
"IC 4","Senior 1 (Skilled)","$146,000","$166,000","$189,000","$229,000","$161,000","$184,000","$209,000","$253,000","0.0368%","0.0480%","0.0608%","0.1668%","5,449","7,107","9,002","24,696","$48,000","$62,000","$79,000","$216,000"
"IC 5","Senior 2 (Advanced)","$153,000","$178,000","$203,000","$252,000","$170,000","$198,000","$225,000","$279,000","0.0416%","0.0540%","0.0732%","0.1984%","6,159","7,995","10,838","29,375","$54,000","$70,000","$95,000","$257,000"
"IC 6","Staff (Expert)","$185,000","$211,000","$222,000","$264,000","$206,000","$234,000","$246,000","$292,000","0.0520%","0.0692%","0.0944%","0.2396%","7,699","10,246","13,977","35,475","$67,000","$90,000","$122,000","$311,000"
"IC 7","Senior Staff (Advisor)","$207,000","$227,000","$254,000","$294,000","$239,000","$263,000","$294,000","$341,000","0.0620%","0.0828%","0.1448%","0.2864%","9,180","12,259","21,439","42,404","$80,000","$107,000","$188,000","$372,000"
"IC 8","Principal (Strategist)","$217,000","$246,000","$269,000","$324,000","$252,000","$285,000","$312,000","$375,000","0.0772%","0.1120%","0.3036%","0.3520%","11,430","16,582","44,950","52,116","$100,000","$145,000","$394,000","$457,000"
"IC 9","Distinguished (Thought Leader)","$218,000","$265,000","$280,000","$325,000","$266,000","$323,000","$341,000","$396,000","0.0932%","0.2568%","0.5140%","0.8472%","13,799","38,021","76,101","125,434","$121,000","$333,000","$667,000","$1,099,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
