"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Sales"
"Specialization","All"
"Peer Group","$25M - $50M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$58,000","$71,000","$81,000","$101,000","$79,000","$92,000","$108,000","$141,000","0.0020%","0.0052%","0.0104%","0.0228%","296","770","1,540","3,376","$3,000","$7,000","$13,000","$30,000"
"IC 2","Mid 1 (Developing)","$65,000","$76,000","$94,000","$128,000","$114,000","$155,000","$186,000","$228,000","0.0060%","0.0124%","0.0288%","0.0392%","888","1,836","4,264","5,804","$8,000","$16,000","$37,000","$51,000"
"IC 3","Mid 2 (Proficient)","$91,000","$109,000","$145,000","$174,000","$124,000","$169,000","$200,000","$252,000","0.0100%","0.0152%","0.0324%","0.0568%","1,481","2,250","4,797","8,410","$13,000","$20,000","$42,000","$74,000"
"IC 4","Senior 1 (Skilled)","$94,000","$123,000","$152,000","$176,000","$144,000","$191,000","$251,000","$301,000","0.0100%","0.0152%","0.0324%","0.0720%","1,481","2,250","4,797","10,660","$13,000","$20,000","$42,000","$93,000"
"IC 5","Senior 2 (Advanced)","$103,000","$145,000","$168,000","$190,000","$163,000","$215,000","$280,000","$335,000","0.0116%","0.0164%","0.0348%","0.0924%","1,717","2,428","5,152","13,680","$15,000","$21,000","$45,000","$120,000"
"IC 6","Staff (Expert)","$115,000","$156,000","$188,000","$223,000","$175,000","$230,000","$299,000","$365,000","0.0192%","0.0244%","0.0380%","0.1136%","2,843","3,613","5,626","16,819","$25,000","$32,000","$49,000","$147,000"
"IC 7","Senior Staff (Advisor)","$156,000","$182,000","$222,000","$247,000","$201,000","$258,000","$342,000","$410,000","0.0224%","0.0436%","0.0880%","0.1476%","3,316","6,455","13,029","21,853","$29,000","$57,000","$114,000","$191,000"
"IC 8","Principal (Strategist)","$173,000","$203,000","$230,000","$268,000","$206,000","$272,000","$368,000","$427,000","0.0276%","0.0996%","0.4516%","0.5560%","4,086","14,747","66,863","82,320","$36,000","$129,000","$586,000","$721,000"
"IC 9","Distinguished (Thought Leader)","$190,000","$229,000","$254,000","$285,000","$272,000","$358,000","$410,000","$493,000","0.0728%","0.2652%","0.5988%","0.9560%","10,779","39,265","88,657","141,543","$94,000","$344,000","$777,000","$1,240,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
