stage,stage_label,location,location_label,role,role_label,level,level_label,level_name,percentile,salary,total_cash,equity_pct
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic1,IC 1,Entry,p25,70840,78200,0.0032
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic1,IC 1,Entry,p50,92000,102120,0.0328
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic1,IC 1,Entry,p75,106720,117760,0.1536
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic1,IC 1,Entry,p90,124200,137080,0.1924
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic2,IC 2,Mid 1 (Developing),p25,103809,115238,0.0196
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic2,IC 2,Mid 1 (Developing),p50,120000,132380,0.068
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic2,IC 2,Mid 1 (Developing),p75,141904,157142,0.1728
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic2,IC 2,Mid 1 (Developing),p90,150476,166666,0.274
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic3,IC 3,Mid 2 (Proficient),p25,108701,120097,0.0356
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic3,IC 3,Mid 2 (Proficient),p50,135000,149025,0.0828
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic3,IC 3,Mid 2 (Proficient),p75,149902,165681,0.1864
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic3,IC 3,Mid 2 (Proficient),p90,180584,199870,0.3668
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic4,IC 4,Senior 1 (Skilled),p25,116982,129389,0.0388
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic4,IC 4,Senior 1 (Skilled),p50,148000,163952,0.0856
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic4,IC 4,Senior 1 (Skilled),p75,173700,192311,0.206
seed,$1M-$10M,san_francisco,"San Francisco, CA",engineering,Engineering,ic4,IC 4,Senior 1 (Skilled),p90,203832,225101,0.4228
